date,sport,mkt,matchup,side,agsTier,units,staked,tracked,outcome,top2Pct,nFor
2026-06-17,MLB,ML,"Miami Marlins @ Philadelphia Phillies",away,ELITE,2.5,1,0,WIN,55.12,2
2026-06-17,MLB,ML,"New York Mets @ Cincinnati Reds",home,PREMIUM,0,0,1,LOSS,59.3,2
2026-06-17,MLB,ML,"San Francisco Giants @ Atlanta Braves",away,FADE,0,0,1,WIN,73.18,8
2026-06-17,MLB,ML,"Tampa Bay Rays @ Los Angeles Dodgers",home,WEAK,0,0,1,WIN,67.22,6
2026-06-17,MLB,ML,"Toronto Blue Jays @ Boston Red Sox",home,ELITE,3,1,0,LOSS,58.24,3
2026-06-17,SOC,ML,"DR Congo @ Portugal",away,ELITE,0,0,1,LOSS,53.45,2
2026-06-17,SOC,ML,"Colombia @ Uzbekistan",away,FADE,0,0,1,WIN,71.12,8
2026-06-17,SOC,ML,"Croatia @ England",home,LOCK,0,0,1,WIN,74.51,14
2026-06-17,SOC,ML,"Panama @ Ghana",home,LOCK,0,0,1,WIN,69.18,6
2026-06-18,MLB,ML,"Baltimore Orioles @ Seattle Mariners",home,LOCK,0,0,1,WIN,66.23,5
2026-06-18,MLB,ML,"Cleveland Guardians @ Milwaukee Brewers",home,PREMIUM,4,1,0,LOSS,67.12,3
2026-06-18,MLB,ML,"Chicago White Sox @ New York Yankees",home,FADE,0,0,1,LOSS,73.21,4
2026-06-18,MLB,ML,"Los Angeles Angels @ Athletics",home,PREMIUM,0,0,1,WIN,72.1,6
2026-06-18,MLB,ML,"New York Mets @ Philadelphia Phillies",away,PREMIUM,2.5,1,0,WIN,75.94,9
2026-06-18,MLB,ML,"Toronto Blue Jays @ Boston Red Sox",away,FADE,0,0,1,WIN,72,4
2026-06-18,SOC,ML,"Bosnia-Herzegovina @ Switzerland",home,FADE,0,0,1,WIN,59.22,5
2026-06-18,SOC,ML,"Korea Republic @ Mexico",home,ELITE,0,0,1,WIN,78.1,9
2026-06-18,SOC,ML,"Qatar @ Canada",away,FADE,0,0,1,LOSS,56.83,3
2026-06-18,SOC,ML,"South Africa @ Czechia",home,FADE,0,0,1,LOSS,83.13,19
2026-06-19,MLB,ML,"Baltimore Orioles @ Los Angeles Dodgers",home,PREMIUM,0,0,1,WIN,66.35,2
2026-06-19,MLB,ML,"Cincinnati Reds @ New York Yankees",away,PREMIUM,0,0,1,LOSS,69.63,2
2026-06-19,MLB,ML,"Cleveland Guardians @ Houston Astros",away,LOCK,0,0,1,LOSS,71.83,1
2026-06-19,MLB,ML,"Chicago White Sox @ Detroit Tigers",home,FADE,0,0,1,WIN,64.99,2
2026-06-19,MLB,ML,"Los Angeles Angels @ Athletics",away,PREMIUM,0,0,1,LOSS,63.98,2
2026-06-19,MLB,ML,"Milwaukee Brewers @ Atlanta Braves",home,WEAK,0,0,1,WIN,58.9,2
2026-06-19,MLB,ML,"Minnesota Twins @ Arizona Diamondbacks",home,PREMIUM,4,1,0,WIN,67.16,2
2026-06-19,MLB,ML,"San Diego Padres @ Texas Rangers",home,LEAN,0,0,1,WIN,58.13,1
2026-06-19,MLB,ML,"San Francisco Giants @ Miami Marlins",home,ELITE,0,0,1,WIN,65.13,1
2026-06-19,MLB,ML,"St. Louis Cardinals @ Kansas City Royals",home,FADE,0,0,1,WIN,64.98,2
2026-06-19,MLB,ML,"Toronto Blue Jays @ Chicago Cubs",home,FADE,0,0,1,WIN,65.74,1
2026-06-19,MLB,ML,"Washington Nationals @ Tampa Bay Rays",away,FADE,0,0,1,LOSS,63.62,2
2026-06-19,SOC,ML,"Australia @ United States",draw,FADE,0,0,1,LOSS,58.06,4
2026-06-19,SOC,ML,"Haiti @ Brazil",away,LEAN,0,0,1,LOSS,64.16,3
2026-06-19,SOC,ML,"Morocco @ Scotland",away,FADE,0,0,1,WIN,75.93,11
2026-06-19,SOC,ML,"Paraguay @ Türkiye",home,PREMIUM,0,0,1,LOSS,59.61,5
2026-06-20,MLB,ML,"Baltimore Orioles @ Los Angeles Dodgers",home,FADE,0,0,1,LOSS,71.72,4
2026-06-20,MLB,ML,"Cincinnati Reds @ New York Yankees",home,PREMIUM,4,1,0,LOSS,48.1,3
